family,model,set,metric,layer,point,lo,hi,n_entities,corrected,significant,seed_sd,primary,n_seeds,reference_M_injected,drop_from_reference,p_raw,p_floor,p_holm,threshold
probe_layer,M_npo_s0,forget,accuracy,7.0,0.08055555555555552,,,,True,True,0.04907361432717082,False,20.0,0.13958333333333328,0.05902777777777776,0.00039996000399960006,9.5367431640625e-07,0.0031996800319968005,
probe_layer,M_npo_s0,forget,accuracy,8.0,0.21319444444444446,,,,True,True,0.09719872314170011,False,20.0,0.538888888888889,0.3256944444444445,9.999000099990002e-05,9.5367431640625e-07,0.0011998800119988001,
probe_layer,M_npo_s0,forget,accuracy,9.0,0.2284722222222222,,,,False,True,0.109498068467214,True,20.0,0.8486111111111111,0.6201388888888889,9.999000099990002e-05,9.5367431640625e-07,,
probe_layer,M_npo_s0,forget,accuracy,10.0,0.2673611111111111,,,,True,True,0.10450724051632922,False,20.0,0.8840277777777779,0.6166666666666667,9.999000099990002e-05,9.5367431640625e-07,0.0011998800119988001,
probe_layer,M_npo_s0,forget,accuracy,11.0,0.25763888888888886,,,,True,True,0.10260525665850223,False,20.0,0.9263888888888889,0.6687500000000001,9.999000099990002e-05,9.5367431640625e-07,0.0011998800119988001,
probe_layer,M_npo_s1,forget,accuracy,0.0,0.19791666666666663,,,,True,False,0.10719288375393854,False,20.0,0.19374999999999998,-0.004166666666666652,0.2999700029997,9.5367431640625e-07,1.0,
probe_layer,M_npo_s1,forget,accuracy,1.0,0.1631944444444444,,,,True,False,0.08782659738699318,False,20.0,0.1694444444444444,0.0062500000000000056,0.24787521247875213,9.5367431640625e-07,1.0,
probe_layer,M_npo_s1,forget,accuracy,2.0,0.1305555555555555,,,,True,False,0.07612594297794939,False,20.0,0.13402777777777775,0.0034722222222222376,0.40815918408159185,9.5367431640625e-07,1.0,
probe_layer,M_npo_s1,forget,accuracy,3.0,0.08888888888888885,,,,True,False,0.06152174636787667,False,20.0,0.09027777777777775,0.0013888888888888978,0.7042295770422957,9.5367431640625e-07,1.0,
probe_layer,M_npo_s1,forget,accuracy,4.0,0.09652777777777774,,,,True,False,0.05690520684965209,False,20.0,0.08611111111111107,-0.010416666666666671,0.1341865813418658,9.5367431640625e-07,0.8051194880511949,
probe_layer,M_npo_s1,forget,accuracy,5.0,0.09930555555555552,,,,True,False,0.0676335525711781,False,20.0,0.0847222222222222,-0.014583333333333323,0.0198980101989801,9.5367431640625e-07,0.1392860713928607,
probe_layer,M_npo_s1,forget,accuracy,6.0,0.19027777777777777,,,,True,False,0.07819177620534559,False,20.0,0.18749999999999997,-0.0027777777777777957,0.7903209679032097,9.5367431640625e-07,1.0,
probe_layer,M_npo_s1,forget,accuracy,7.0,0.10486111111111107,,,,True,False,0.05027438520426995,False,20.0,0.13958333333333328,0.03472222222222221,0.016198380161983803,9.5367431640625e-07,0.12958704129587043,
probe_layer,M_npo_s1,forget,accuracy,8.0,0.16527777777777777,,,,True,True,0.0850099371174156,False,20.0,0.538888888888889,0.3736111111111112,9.999000099990002e-05,9.5367431640625e-07,0.0011998800119988001,
probe_layer,M_npo_s1,forget,accuracy,9.0,0.15416666666666665,,,,False,True,0.08307709142060994,True,20.0,0.8486111111111111,0.6944444444444444,9.999000099990002e-05,9.5367431640625e-07,,
probe_layer,M_npo_s1,forget,accuracy,10.0,0.14444444444444443,,,,True,True,0.06824996102553471,False,20.0,0.8840277777777779,0.7395833333333335,9.999000099990002e-05,9.5367431640625e-07,0.0011998800119988001,
probe_layer,M_npo_s1,forget,accuracy,11.0,0.14097222222222217,,,,True,True,0.07503451122812532,False,20.0,0.9263888888888889,0.7854166666666668,9.999000099990002e-05,9.5367431640625e-07,0.0011998800119988001,
probe_layer,M_npo_s2,forget,accuracy,0.0,0.19791666666666663,,,,True,False,0.11036619814647664,False,20.0,0.19374999999999998,-0.004166666666666652,0.3524647535246475,9.5367431640625e-07,1.0,
