layer,position,kind,logit_diff_base,logit_diff_donor,logit_diff_patched,recovery,set,entity_id,model
10,-6,real,-52.51907932758331,7.559791564941406,-52.33043813705444,0.003139892406871801,forget,for_000,M_gd_s2
10,-5,real,-52.51907932758331,7.559791564941406,-52.3440957069397,0.002912565067287041,forget,for_000,M_gd_s2
10,-4,real,-52.51907932758331,7.559791564941406,-52.22305393218994,0.004927279607550088,forget,for_000,M_gd_s2
10,-3,real,-52.51907932758331,7.559791564941406,-52.335774183273315,0.0030510750549542233,forget,for_000,M_gd_s2
10,-2,real,-52.51907932758331,7.559791564941406,-52.310280561447144,0.0034754109562027255,forget,for_000,M_gd_s2
10,-1,real,-52.51907932758331,7.559791564941406,-1.3727912902832031,0.8513190623837765,forget,for_000,M_gd_s2
10,-6,random_position,-52.51907932758331,7.559791564941406,-52.33043813705444,0.003139892406871801,forget,for_000,M_gd_s2
11,-6,real,-52.51907932758331,7.559791564941406,-52.51907932758331,0.0,forget,for_000,M_gd_s2
11,-5,real,-52.51907932758331,7.559791564941406,-52.51907932758331,0.0,forget,for_000,M_gd_s2
11,-4,real,-52.51907932758331,7.559791564941406,-52.51907932758331,0.0,forget,for_000,M_gd_s2
11,-3,real,-52.51907932758331,7.559791564941406,-52.51907932758331,0.0,forget,for_000,M_gd_s2
11,-2,real,-52.51907932758331,7.559791564941406,-52.51907932758331,0.0,forget,for_000,M_gd_s2
11,-1,real,-52.51907932758331,7.559791564941406,7.4987335205078125,0.998983701865123,forget,for_000,M_gd_s2
11,-6,random_position,-52.51907932758331,7.559791564941406,-52.51907932758331,0.0,forget,for_000,M_gd_s2
0,-6,real,-51.996753215789795,9.135322570800781,-51.900362491607666,0.001576761838067216,forget,for_000,M_gd_s2
0,-5,real,-51.996753215789795,9.135322570800781,-50.64829760789871,0.022058070015460996,forget,for_000,M_gd_s2
0,-4,real,-51.996753215789795,9.135322570800781,-48.8928188085556,0.05077423541235361,forget,for_000,M_gd_s2
0,-3,real,-51.996753215789795,9.135322570800781,-51.97587049007416,0.0003416001411196619,forget,for_000,M_gd_s2
0,-2,real,-51.996753215789795,9.135322570800781,-51.98605394363403,0.00017501895720198367,forget,for_000,M_gd_s2
0,-1,real,-51.996753215789795,9.135322570800781,-51.95979452133179,0.0006045712333902911,forget,for_000,M_gd_s2
0,-10,random_position,-51.996753215789795,9.135322570800781,-51.98286485671997,0.0002271861194163908,forget,for_000,M_gd_s2
1,-6,real,-51.996753215789795,9.135322570800781,-51.79853546619415,0.003242450825449011,forget,for_000,M_gd_s2
1,-5,real,-51.996753215789795,9.135322570800781,-50.63825061917305,0.02222241890426261,forget,for_000,M_gd_s2
1,-4,real,-51.996753215789795,9.135322570800781,-45.367921352386475,0.10843459473786371,forget,for_000,M_gd_s2
1,-3,real,-51.996753215789795,9.135322570800781,-51.979252576828,0.00028627588277692324,forget,for_000,M_gd_s2
1,-2,real,-51.996753215789795,9.135322570800781,-51.991576194763184,8.468583734476944e-05,forget,for_000,M_gd_s2
1,-1,real,-51.996753215789795,9.135322570800781,-51.890403032302856,0.0017396789184486775,forget,for_000,M_gd_s2
1,-3,random_position,-51.996753215789795,9.135322570800781,-51.979252576828,0.00028627588277692324,forget,for_000,M_gd_s2
2,-6,real,-51.996753215789795,9.135322570800781,-51.643057107925415,0.00578576963588015,forget,for_000,M_gd_s2
2,-5,real,-51.996753215789795,9.135322570800781,-50.83690458536148,0.018972832437054738,forget,for_000,M_gd_s2
2,-4,real,-51.996753215789795,9.135322570800781,-39.58342933654785,0.20305745747251114,forget,for_000,M_gd_s2
2,-3,real,-51.996753215789795,9.135322570800781,-52.001161336898804,-7.210815357223184e-05,forget,for_000,M_gd_s2
2,-2,real,-51.996753215789795,9.135322570800781,-52.00053811073303,-6.191340461675486e-05,forget,for_000,M_gd_s2
2,-1,real,-51.996753215789795,9.135322570800781,-51.7619526386261,0.0038408736190044474,forget,for_000,M_gd_s2
2,-7,random_position,-51.996753215789795,9.135322570800781,-51.817453384399414,0.002932991053932289,forget,for_000,M_gd_s2
3,-6,real,-51.996753215789795,9.135322570800781,-51.4552127122879,0.008858532882023939,forget,for_000,M_gd_s2
3,-5,real,-51.996753215789795,9.135322570800781,-51.37905013561249,0.010104402185420332,forget,for_000,M_gd_s2
3,-4,real,-51.996753215789795,9.135322570800781,-32.92582321166992,0.31196274228762755,forget,for_000,M_gd_s2
3,-3,real,-51.996753215789795,9.135322570800781,-52.02501118183136,-0.0004622445038544458,forget,for_000,M_gd_s2
3,-2,real,-51.996753215789795,9.135322570800781,-52.01227855682373,-0.00025396391066669874,forget,for_000,M_gd_s2
3,-1,real,-51.996753215789795,9.135322570800781,-51.53338146209717,0.007579846549137929,forget,for_000,M_gd_s2
3,-10,random_position,-51.996753215789795,9.135322570800781,-51.84846317768097,0.0024257320923716016,forget,for_000,M_gd_s2
4,-6,real,-51.996753215789795,9.135322570800781,-51.30416929721832,0.011329304782472177,forget,for_000,M_gd_s2
4,-5,real,-51.996753215789795,9.135322570800781,-51.616209506988525,0.0062249433526473255,forget,for_000,M_gd_s2
4,-4,real,-51.996753215789795,9.135322570800781,-26.893007278442383,0.4106476937734537,forget,for_000,M_gd_s2
4,-3,real,-51.996753215789795,9.135322570800781,-52.00953733921051,-0.0002091230054962333,forget,for_000,M_gd_s2
4,-2,real,-51.996753215789795,9.135322570800781,-51.98773455619812,0.00014752745552365265,forget,for_000,M_gd_s2
4,-1,real,-51.996753215789795,9.135322570800781,-51.27922856807709,0.011737285843483459,forget,for_000,M_gd_s2
4,-8,random_position,-51.996753215789795,9.135322570800781,-51.98990750312805,0.00011198233617391383,forget,for_000,M_gd_s2
5,-6,real,-51.996753215789795,9.135322570800781,-51.08725368976593,0.014877615626841924,forget,for_000,M_gd_s2
5,-5,real,-51.996753215789795,9.135322570800781,-51.70081973075867,0.00484088723020332,forget,for_000,M_gd_s2
5,-4,real,-51.996753215789795,9.135322570800781,-20.484041213989258,0.515485718361831,forget,for_000,M_gd_s2
5,-3,real,-51.996753215789795,9.135322570800781,-51.99624228477478,8.357822116138939e-06,forget,for_000,M_gd_s2
5,-2,real,-51.996753215789795,9.135322570800781,-51.98142194747925,0.0002507892642819404,forget,for_000,M_gd_s2
5,-1,real,-51.996753215789795,9.135322570800781,-50.82875794172287,0.019106095434160388,forget,for_000,M_gd_s2
5,-9,random_position,-51.996753215789795,9.135322570800781,-51.98454451560974,0.0001997102179659947,forget,for_000,M_gd_s2
6,-6,real,-51.996753215789795,9.135322570800781,-50.97532141208649,0.01670860657945073,forget,for_000,M_gd_s2
6,-5,real,-51.996753215789795,9.135322570800781,-51.5883766412735,0.006680234054899776,forget,for_000,M_gd_s2
6,-4,real,-51.996753215789795,9.135322570800781,-16.136131286621094,0.5866089359431631,forget,for_000,M_gd_s2
6,-3,real,-51.996753215789795,9.135322570800781,-51.971486926078796,0.00041330658882256927,forget,for_000,M_gd_s2
6,-2,real,-51.996753215789795,9.135322570800781,-52.01821172237396,-0.0003510187787353761,forget,for_000,M_gd_s2
6,-1,real,-51.996753215789795,9.135322570800781,-49.21682929992676,0.0454740638215465,forget,for_000,M_gd_s2
6,-2,random_position,-51.996753215789795,9.135322570800781,-52.01821172237396,-0.0003510187787353761,forget,for_000,M_gd_s2
7,-6,real,-51.996753215789795,9.135322570800781,-51.00660836696625,0.016196813801646455,forget,for_000,M_gd_s2
7,-5,real,-51.996753215789795,9.135322570800781,-51.771881341934204,0.0036784596459738875,forget,for_000,M_gd_s2
