alpha,predicted_delta,actual_delta,abs_error,entity_id
-0.5,0.0007318715797737241,0.0007245354354381561,7.336144335567951e-06,for_002
0.5,-0.0007318715797737241,-0.0007395222783088684,7.650698535144329e-06,for_002
1.0,-0.0014637431595474482,-0.0014955773949623108,3.183423541486263e-05,for_002
2.0,-0.0029274863190948963,-0.00305861234664917,0.0001311260275542736,for_002
-2.0,0.00012801219418179244,0.00011809263378381729,9.919560397975147e-06,for_002
-1.0,6.400609709089622e-05,6.154458969831467e-05,2.4615073925815523e-06,for_002
-0.5,3.200304854544811e-05,3.130745608359575e-05,6.955924618523568e-07,for_002
0.5,-3.200304854544811e-05,-3.237777855247259e-05,3.747300070244819e-07,for_002
1.0,-6.400609709089622e-05,-6.665894761681557e-05,2.652850525919348e-06,for_002
2.0,-0.00012801219418179244,-0.00013866962399333715,1.0657429811544716e-05,for_002
-2.0,0.00010730583016993478,9.242282249033451e-05,1.4883007679600269e-05,for_002
-1.0,5.365291508496739e-05,4.995730705559254e-05,3.6956080293748528e-06,for_002
-0.5,2.6826457542483695e-05,2.604885958135128e-05,7.775979611324146e-07,for_002
0.5,-2.6826457542483695e-05,-2.7951085940003395e-05,1.1246283975197002e-06,for_002
1.0,-5.365291508496739e-05,-5.732872523367405e-05,3.6758101487066597e-06,for_002
2.0,-0.00010730583016993478,-0.00012262258678674698,1.53167566168122e-05,for_002
-2.0,0.0001218551115016453,0.0001128737349063158,8.981376595329493e-06,for_002
-1.0,6.092755575082265e-05,5.869753658771515e-05,2.2300191631074995e-06,for_002
-0.5,3.0463777875411324e-05,2.9884162358939648e-05,5.796155164716765e-07,for_002
0.5,-3.0463777875411324e-05,-3.095460124313831e-05,4.908233677269891e-07,for_002
1.0,-6.092755575082265e-05,-6.333703640848398e-05,2.4094806576613337e-06,for_002
2.0,-0.0001218551115016453,-0.0001319078728556633,1.0052761354018003e-05,for_002
-2.0,0.0001768877264112234,0.00016461126506328583,1.2276461347937584e-05,for_002
-1.0,8.84438632056117e-05,8.551357313990593e-05,2.9302900657057762e-06,for_002
-0.5,4.422193160280585e-05,4.3528852984309196e-05,6.930786184966564e-07,for_002
0.5,-4.422193160280585e-05,-4.4954242184758186e-05,7.323105819523335e-07,for_002
1.0,-8.84438632056117e-05,-9.145238436758518e-05,3.0085211619734764e-06,for_002
2.0,-0.0001768877264112234,-0.00019038747996091843,1.3499753549695015e-05,for_002
-2.0,0.00021077541168779135,0.0001912794541567564,1.9495957531034946e-05,for_002
-1.0,0.00010538770584389567,0.00010051229037344456,4.8754154704511166e-06,for_002
-0.5,5.269385292194784e-05,5.150376819074154e-05,1.1900847312062979e-06,for_002
0.5,-5.269385292194784e-05,-5.388003773987293e-05,1.1861848179250956e-06,for_002
1.0,-0.00010538770584389567,-0.00011049257591366768,5.104870069772005e-06,for_002
2.0,-0.00021077541168779135,-0.00023167533800005913,2.089992631226778e-05,for_002
-2.0,-0.029282093048095703,-0.02606964111328125,0.003212451934814453,for_003
-1.0,-0.014641046524047852,-0.013833999633789062,0.0008070468902587891,for_003
-0.5,-0.007320523262023926,-0.0071048736572265625,0.00021564960479736328,for_003
0.5,0.007320523262023926,0.0075321197509765625,0.00021159648895263672,for_003
1.0,0.014641046524047852,0.015468597412109375,0.0008275508880615234,for_003
2.0,0.029282093048095703,0.032535552978515625,0.003253459930419922,for_003
-2.0,-0.05417296662926674,-0.05118370056152344,0.0029892660677433014,for_003
-1.0,-0.02708648331463337,-0.026350021362304688,0.000736461952328682,for_003
-0.5,-0.013543241657316685,-0.013364791870117188,0.00017844978719949722,for_003
0.5,0.013543241657316685,0.013719558715820312,0.00017631705850362778,for_003
1.0,0.02708648331463337,0.027826309204101562,0.000739825889468193,for_003
2.0,0.05417296662926674,0.05719566345214844,0.0030226968228816986,for_003
