model,set,layer,relative_l2,cosine
M_npo_s1,forget,1,0.06120782345533371,0.9981917142868042
M_npo_s1,forget,2,0.07608289271593094,0.9971740245819092
M_npo_s1,forget,3,0.09363280981779099,0.9957665205001831
M_npo_s1,forget,4,0.10512445122003555,0.9945599436759949
M_npo_s1,forget,5,0.12306014448404312,0.9925408959388733
M_npo_s1,forget,6,0.1844753623008728,0.9827609658241272
M_npo_s1,forget,7,0.2399483323097229,0.9703814387321472
M_npo_s1,forget,8,0.3836571276187897,0.9238786697387695
M_npo_s1,forget,9,0.5521854758262634,0.8413386344909668
M_npo_s1,forget,10,0.6939664483070374,0.7471320629119873
M_npo_s1,forget,11,1.0007622241973877,0.4955114722251892
M_npo_s1,retain,0,0.03394510969519615,0.9994831681251526
M_npo_s1,retain,1,0.06075027212500572,0.9982165098190308
M_npo_s1,retain,2,0.07542508840560913,0.997223436832428
M_npo_s1,retain,3,0.09292058646678925,0.9958384037017822
M_npo_s1,retain,4,0.10370508581399918,0.9947091937065125
M_npo_s1,retain,5,0.12199896574020386,0.9926713705062866
M_npo_s1,retain,6,0.17183060944080353,0.985198974609375
M_npo_s1,retain,7,0.2122967392206192,0.9773324728012085
M_npo_s1,retain,8,0.29012399911880493,0.9575082659721375
M_npo_s1,retain,9,0.35886356234550476,0.9349268674850464
M_npo_s1,retain,10,0.4131300747394562,0.9127008318901062
M_npo_s1,retain,11,0.6138445734977722,0.8023141026496887
M_npo_s1,control,0,0.03397198021411896,0.9994818568229675
M_npo_s1,control,1,0.0610647052526474,0.9981998801231384
M_npo_s1,control,2,0.07572315633296967,0.9971997141838074
M_npo_s1,control,3,0.09304323047399521,0.995823860168457
M_npo_s1,control,4,0.10390757024288177,0.9946900606155396
M_npo_s1,control,5,0.12204122543334961,0.9926760196685791
M_npo_s1,control,6,0.17374758422374725,0.9848012924194336
M_npo_s1,control,7,0.21947507560253143,0.9756892323493958
M_npo_s1,control,8,0.3272996246814728,0.9446386694908142
M_npo_s1,control,9,0.44059744477272034,0.8963192701339722
M_npo_s1,control,10,0.5342978239059448,0.8448174595832825
M_npo_s1,control,11,0.8032597303390503,0.663001298904419
M_npo_s1,generic,0,0.03698330745100975,0.999323844909668
M_npo_s1,generic,1,0.06186388432979584,0.9982025027275085
M_npo_s1,generic,2,0.06980250030755997,0.9976269602775574
M_npo_s1,generic,3,0.08462771028280258,0.9964127540588379
M_npo_s1,generic,4,0.09085234254598618,0.9958650469779968
M_npo_s1,generic,5,0.09928244352340698,0.9950547218322754
M_npo_s1,generic,6,0.11418197304010391,0.9934737682342529
M_npo_s1,generic,7,0.1238810122013092,0.9923505187034607
M_npo_s1,generic,8,0.13392068445682526,0.99116450548172
M_npo_s1,generic,9,0.13632185757160187,0.9907576441764832
M_npo_s1,generic,10,0.13094615936279297,0.9916608333587646
M_npo_s1,generic,11,0.1297014206647873,0.9930853843688965
M_npo_s2,forget,0,0.02916310541331768,0.9995765686035156
M_npo_s2,forget,1,0.05163902789354324,0.9986883997917175
M_npo_s2,forget,2,0.06301942467689514,0.9980502724647522
M_npo_s2,forget,3,0.07916511595249176,0.9969251155853271
M_npo_s2,forget,4,0.10221343487501144,0.9950659275054932
M_npo_s2,forget,5,0.131423681974411,0.9917396903038025
M_npo_s2,forget,6,0.2052006870508194,0.9800323843955994
M_npo_s2,forget,7,0.27937591075897217,0.9610704779624939
M_npo_s2,forget,8,0.3854540288448334,0.9196540117263794
M_npo_s2,forget,9,0.5134235620498657,0.8532291054725647
M_npo_s2,forget,10,0.6218653321266174,0.7799378633499146
M_npo_s2,forget,11,0.8706115484237671,0.5513929724693298
M_npo_s2,retain,0,0.029122868552803993,0.9995781779289246
M_npo_s2,retain,1,0.05139968544244766,0.9987009763717651
M_npo_s2,retain,2,0.06266821175813675,0.9980705976486206
M_npo_s2,retain,3,0.07826627045869827,0.9969968199729919
M_npo_s2,retain,4,0.10085831582546234,0.9952288866043091
M_npo_s2,retain,5,0.13019204139709473,0.9919484257698059
M_npo_s2,retain,6,0.19543059170246124,0.9823259115219116
M_npo_s2,retain,7,0.25043439865112305,0.9700921177864075
M_npo_s2,retain,8,0.306599885225296,0.9518579840660095
M_npo_s2,retain,9,0.3670821785926819,0.9292594194412231
M_npo_s2,retain,10,0.41214731335639954,0.9096938371658325
M_npo_s2,retain,11,0.5911632180213928,0.8005692362785339
M_npo_s2,control,0,0.029132314026355743,0.999578058719635
M_npo_s2,control,1,0.05169692263007164,0.9986846446990967
M_npo_s2,control,2,0.06290927529335022,0.9980568289756775
M_npo_s2,control,3,0.07854737341403961,0.9969731569290161
M_npo_s2,control,4,0.10122519731521606,0.9951788783073425
M_npo_s2,control,5,0.1301676630973816,0.9919445514678955
M_npo_s2,control,6,0.19779470562934875,0.9817646741867065
M_npo_s2,control,7,0.2640872597694397,0.9665902256965637
M_npo_s2,control,8,0.34684574604034424,0.9360885620117188
M_npo_s2,control,9,0.4334242343902588,0.8967597484588623
M_npo_s2,control,10,0.5070145130157471,0.8556331992149353
M_npo_s2,control,11,0.7296143770217896,0.6892713904380798
M_npo_s2,generic,0,0.029758283868432045,0.9995577931404114
M_npo_s2,generic,1,0.048543959856033325,0.998820960521698
M_npo_s2,generic,2,0.05621500313282013,0.9984210133552551
M_npo_s2,generic,3,0.06684506684541702,0.9978167414665222
M_npo_s2,generic,4,0.07349998503923416,0.9973543286323547
M_npo_s2,generic,5,0.08033298701047897,0.996845006942749
M_npo_s2,generic,6,0.09246757626533508,0.995955765247345
M_npo_s2,generic,7,0.09699312597513199,0.9957237243652344
M_npo_s2,generic,8,0.10212638229131699,0.9951304793357849
M_npo_s2,generic,9,0.10278228670358658,0.9949101805686951
M_npo_s2,generic,10,0.0999392494559288,0.9953615069389343
M_npo_s2,generic,11,0.10229557752609253,0.9960975050926208
M_gd_s2,forget,0,0.03324325010180473,0.9994500279426575
M_gd_s2,forget,1,0.055239781737327576,0.9985129237174988
M_gd_s2,forget,2,0.06806078553199768,0.997797429561615
M_gd_s2,forget,3,0.08788354694843292,0.996242105960846
M_gd_s2,forget,4,0.1147901639342308,0.9937137961387634
M_gd_s2,forget,5,0.14586788415908813,0.9896997809410095
M_gd_s2,forget,6,0.22846227884292603,0.9746885299682617
M_gd_s2,forget,7,0.2994876503944397,0.9546806812286377
M_gd_s2,forget,8,0.39601197838783264,0.9144236445426941
M_gd_s2,forget,9,0.5276048183441162,0.8435088992118835
M_gd_s2,forget,10,0.6332110166549683,0.7703382968902588
M_gd_s2,forget,11,0.8807179927825928,0.5290898084640503
M_gd_s2,retain,0,0.03308960422873497,0.99945467710495
M_gd_s2,retain,1,0.054822467267513275,0.9985365271568298
M_gd_s2,retain,2,0.06726130098104477,0.9978469014167786
M_gd_s2,retain,3,0.08647387474775314,0.9963696002960205
M_gd_s2,retain,4,0.11253035068511963,0.9939972162246704
M_gd_s2,retain,5,0.1435410976409912,0.990114152431488
M_gd_s2,retain,6,0.21695612370967865,0.9777787327766418
M_gd_s2,retain,7,0.27220380306243896,0.9643407464027405
M_gd_s2,retain,8,0.3232547640800476,0.9460821151733398
M_gd_s2,retain,9,0.3874455690383911,0.9209442138671875
M_gd_s2,retain,10,0.4291177988052368,0.9014055132865906
M_gd_s2,retain,11,0.6140711307525635,0.7824572920799255
M_gd_s2,control,0,0.03307022899389267,0.9994551539421082
M_gd_s2,control,1,0.055208899080753326,0.9985131025314331
M_gd_s2,control,2,0.06777448207139969,0.99781334400177
M_gd_s2,control,3,0.0870550200343132,0.996314287185669
M_gd_s2,control,4,0.1134754940867424,0.9938843846321106
M_gd_s2,control,5,0.14424298703670502,0.9900164008140564
M_gd_s2,control,6,0.21977758407592773,0.9770861864089966
M_gd_s2,control,7,0.28435665369033813,0.9609754085540771
M_gd_s2,control,8,0.3535822331905365,0.9339087009429932
M_gd_s2,control,9,0.4438403248786926,0.8921298980712891
M_gd_s2,control,10,0.5143179297447205,0.8520452976226807
M_gd_s2,control,11,0.7405128479003906,0.6751344203948975
M_gd_s2,generic,0,0.03131836652755737,0.9995089173316956
M_gd_s2,generic,1,0.04981429874897003,0.9987555146217346
M_gd_s2,generic,2,0.05818542465567589,0.9983088374137878
M_gd_s2,generic,3,0.07274725288152695,0.997420608997345
M_gd_s2,generic,4,0.08112338185310364,0.9967882037162781
M_gd_s2,generic,5,0.08686065673828125,0.9962717890739441
M_gd_s2,generic,6,0.09983298927545547,0.9952035546302795
M_gd_s2,generic,7,0.10426530241966248,0.9949706196784973
M_gd_s2,generic,8,0.10766731947660446,0.99454665184021
M_gd_s2,generic,9,0.10799416154623032,0.9942951798439026
M_gd_s2,generic,10,0.10501998662948608,0.9948410987854004
M_gd_s2,generic,11,0.10531844943761826,0.9959921836853027
