accuracy,control_task_accuracy,selectivity,chance,n_train,n_test,seed,probe,layer,model,set,condition
0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,216,72,15,logistic,0,M_injected,forget,M_injected:forget
0.3472222222222222,0.041666666666666664,0.3055555555555555,0.08333333333333333,216,72,16,logistic,0,M_injected,forget,M_injected:forget
0.16666666666666666,0.1111111111111111,0.05555555555555555,0.08333333333333333,216,72,17,logistic,0,M_injected,forget,M_injected:forget
0.1527777777777778,0.013888888888888888,0.1388888888888889,0.08333333333333333,216,72,18,logistic,0,M_injected,forget,M_injected:forget
0.25,0.08333333333333333,0.16666666666666669,0.08333333333333333,216,72,19,logistic,0,M_injected,forget,M_injected:forget
0.013888888888888888,0.027777777777777776,-0.013888888888888888,0.08333333333333333,216,72,0,logistic,1,M_injected,forget,M_injected:forget
0.18055555555555555,0.041666666666666664,0.1388888888888889,0.08333333333333333,216,72,1,logistic,1,M_injected,forget,M_injected:forget
0.08333333333333333,0.09722222222222222,-0.013888888888888895,0.08333333333333333,216,72,2,logistic,1,M_injected,forget,M_injected:forget
0.1527777777777778,0.09722222222222222,0.055555555555555566,0.08333333333333333,216,72,3,logistic,1,M_injected,forget,M_injected:forget
0.1388888888888889,0.041666666666666664,0.09722222222222224,0.08333333333333333,216,72,4,logistic,1,M_injected,forget,M_injected:forget
0.08333333333333333,0.09722222222222222,-0.013888888888888895,0.08333333333333333,216,72,5,logistic,1,M_injected,forget,M_injected:forget
0.4166666666666667,0.08333333333333333,0.33333333333333337,0.08333333333333333,216,72,6,logistic,1,M_injected,forget,M_injected:forget
0.2777777777777778,0.06944444444444445,0.20833333333333334,0.08333333333333333,216,72,7,logistic,1,M_injected,forget,M_injected:forget
0.125,0.09722222222222222,0.027777777777777776,0.08333333333333333,216,72,8,logistic,1,M_injected,forget,M_injected:forget
0.08333333333333333,0.09722222222222222,-0.013888888888888895,0.08333333333333333,216,72,9,logistic,1,M_injected,forget,M_injected:forget
0.16666666666666666,0.06944444444444445,0.09722222222222221,0.08333333333333333,216,72,10,logistic,1,M_injected,forget,M_injected:forget
0.19444444444444445,0.18055555555555555,0.013888888888888895,0.08333333333333333,216,72,11,logistic,1,M_injected,forget,M_injected:forget
0.09722222222222222,0.1388888888888889,-0.04166666666666667,0.08333333333333333,216,72,12,logistic,1,M_injected,forget,M_injected:forget
0.3194444444444444,0.05555555555555555,0.26388888888888884,0.08333333333333333,216,72,13,logistic,1,M_injected,forget,M_injected:forget
0.1388888888888889,0.08333333333333333,0.055555555555555566,0.08333333333333333,216,72,14,logistic,1,M_injected,forget,M_injected:forget
0.1111111111111111,0.0,0.1111111111111111,0.08333333333333333,216,72,15,logistic,1,M_injected,forget,M_injected:forget
0.2777777777777778,0.013888888888888888,0.2638888888888889,0.08333333333333333,216,72,16,logistic,1,M_injected,forget,M_injected:forget
0.16666666666666666,0.1111111111111111,0.05555555555555555,0.08333333333333333,216,72,17,logistic,1,M_injected,forget,M_injected:forget
0.18055555555555555,0.027777777777777776,0.1527777777777778,0.08333333333333333,216,72,18,logistic,1,M_injected,forget,M_injected:forget
0.18055555555555555,0.0,0.18055555555555555,0.08333333333333333,216,72,19,logistic,1,M_injected,forget,M_injected:forget
0.0,0.041666666666666664,-0.041666666666666664,0.08333333333333333,216,72,0,logistic,2,M_injected,forget,M_injected:forget
0.16666666666666666,0.0,0.16666666666666666,0.08333333333333333,216,72,1,logistic,2,M_injected,forget,M_injected:forget
0.1111111111111111,0.1388888888888889,-0.02777777777777779,0.08333333333333333,216,72,2,logistic,2,M_injected,forget,M_injected:forget
0.1388888888888889,0.08333333333333333,0.055555555555555566,0.08333333333333333,216,72,3,logistic,2,M_injected,forget,M_injected:forget
0.1527777777777778,0.027777777777777776,0.125,0.08333333333333333,216,72,4,logistic,2,M_injected,forget,M_injected:forget
0.125,0.125,0.0,0.08333333333333333,216,72,5,logistic,2,M_injected,forget,M_injected:forget
0.3888888888888889,0.05555555555555555,0.33333333333333337,0.08333333333333333,216,72,6,logistic,2,M_injected,forget,M_injected:forget
0.125,0.0,0.125,0.08333333333333333,216,72,7,logistic,2,M_injected,forget,M_injected:forget
0.08333333333333333,0.09722222222222222,-0.013888888888888895,0.08333333333333333,216,72,8,logistic,2,M_injected,forget,M_injected:forget
0.1111111111111111,0.19444444444444445,-0.08333333333333334,0.08333333333333333,216,72,9,logistic,2,M_injected,forget,M_injected:forget
0.18055555555555555,0.1111111111111111,0.06944444444444445,0.08333333333333333,216,72,10,logistic,2,M_injected,forget,M_injected:forget
0.1388888888888889,0.09722222222222222,0.04166666666666667,0.08333333333333333,216,72,11,logistic,2,M_injected,forget,M_injected:forget
0.125,0.08333333333333333,0.04166666666666667,0.08333333333333333,216,72,12,logistic,2,M_injected,forget,M_injected:forget
0.19444444444444445,0.08333333333333333,0.11111111111111112,0.08333333333333333,216,72,13,logistic,2,M_injected,forget,M_injected:forget
0.027777777777777776,0.1388888888888889,-0.11111111111111112,0.08333333333333333,216,72,14,logistic,2,M_injected,forget,M_injected:forget
0.1388888888888889,0.0,0.1388888888888889,0.08333333333333333,216,72,15,logistic,2,M_injected,forget,M_injected:forget
