model,set,layer,cka,pca_similarity,pca_shift
M_npo_s2,forget,1,0.9999338919699334,0.9697338764325654,0.1963115626392217
M_npo_s2,forget,2,0.9999462848148736,0.9590103201258195,0.12118233330203927
M_npo_s2,forget,3,0.999769164740726,0.7810683528465753,0.3126455033659599
M_npo_s2,forget,4,0.9997450710544948,0.7738939338351625,0.37141811194305613
M_npo_s2,forget,5,0.9995692328725165,0.734098191983252,0.4005816233406758
M_npo_s2,forget,6,0.9970269460129744,0.509577587295208,2.5294540055305452
M_npo_s2,forget,7,0.9775226768835944,0.5194088640672508,0.9928271638782223
M_npo_s2,forget,8,0.8863001184193947,0.44106556212386955,3.014565256180001
M_npo_s2,forget,9,0.6657304477092855,0.10229865702439096,18.857870864517306
M_npo_s2,forget,10,0.6354102085597101,0.2857419038104852,37.65518710839718
M_npo_s2,forget,11,0.6091814335694562,0.15135816575900377,127.43275828487003
M_npo_s2,retain,0,0.9999294204815591,0.9946919090953699,0.03049535520605186
M_npo_s2,retain,1,0.999934340937377,0.9613773276536227,0.1907289214208002
M_npo_s2,retain,2,0.9999477816255744,0.9177130673262438,0.11944075934927058
M_npo_s2,retain,3,0.9997800219839238,0.8901361873419107,0.3068994882417078
M_npo_s2,retain,4,0.9997754407627335,0.8829060980351869,0.39652346629411894
M_npo_s2,retain,5,0.9996246790242606,0.847606484254567,0.4351382556555396
M_npo_s2,retain,6,0.9978624403368759,0.7485883848291438,2.377075930622654
M_npo_s2,retain,7,0.9841056726194437,0.561594605572811,1.019669535663921
M_npo_s2,retain,8,0.9361326341271481,0.4072260766218214,3.1009095318683326
M_npo_s2,retain,9,0.9015815994048727,0.4673469535591984,2.4038988628140485
M_npo_s2,retain,10,0.8960910512723836,0.45355124511484224,10.047878552758261
M_npo_s2,retain,11,0.829389049663021,0.33719518036632223,80.4301885195201
M_npo_s2,control,0,0.9999325983553189,0.9949791143252735,0.03114631891810848
M_npo_s2,control,1,0.9999364329737522,0.9774437307778852,0.1976750509174245
M_npo_s2,control,2,0.9999516651381076,0.8918221614929559,0.12307410117072916
M_npo_s2,control,3,0.9997708603682834,0.9400026195032893,0.3090278607426875
M_npo_s2,control,4,0.9997659460730515,0.8360118525966307,0.40684785678928004
M_npo_s2,control,5,0.9996252584775978,0.7223046035602263,0.4324252103419665
M_npo_s2,control,6,0.9980439248432702,0.6928358187744107,2.3777335335788163
M_npo_s2,control,7,0.9880692227490983,0.47708085138982825,1.0446988315476666
M_npo_s2,control,8,0.9080525564616999,0.2995589453835381,3.5642911075413104
M_npo_s2,control,9,0.7500106774929917,0.3589338454734197,14.577057771193095
M_npo_s2,control,10,0.763103681681832,0.3741551597904543,23.518110731163077
M_npo_s2,control,11,0.7338873725911137,0.25974347357586425,98.7750681188867
M_npo_s2,generic,0,0.9987605667573014,0.9425656479377833,0.08030666749163103
