alpha,predicted_delta,actual_delta,abs_error,entity_id
-0.5,5.136044273967855e-05,5.027884617447853e-05,1.081596565200016e-06,for_002
0.5,-5.136044273967855e-05,-5.2529387176036835e-05,1.168944436358288e-06,for_002
1.0,-0.0001027208854793571,-0.00010730884969234467,4.587964212987572e-06,for_002
2.0,-0.0002054417709587142,-0.00022420892491936684,1.876715396065265e-05,for_002
-2.0,0.0003397915861569345,0.0003067879006266594,3.3003685530275106e-05,for_002
-1.0,0.00016989579307846725,0.00016177725046873093,8.118542609736323e-06,for_002
-0.5,8.494789653923362e-05,8.299853652715683e-05,1.949360012076795e-06,for_002
0.5,-8.494789653923362e-05,-8.674804121255875e-05,1.8001446733251214e-06,for_002
1.0,-0.00016989579307846725,-0.00017794780433177948,8.05201125331223e-06,for_002
2.0,-0.0003397915861569345,-0.00037311483174562454,3.332324558869004e-05,for_002
-2.0,0.0012871152721345425,0.00121215358376503,7.496168836951256e-05,for_002
-1.0,0.0006435576360672712,0.0006244629621505737,1.9094673916697502e-05,for_002
-0.5,0.0003217788180336356,0.00031659193336963654,5.186884663999081e-06,for_002
0.5,-0.0003217788180336356,-0.0003269277513027191,5.1489332690835e-06,for_002
1.0,-0.0006435576360672712,-0.0006636027246713638,2.0045088604092598e-05,for_002
2.0,-0.0012871152721345425,-0.0013666115701198578,7.949629798531532e-05,for_002
-2.0,-0.03213503211736679,-0.030405044555664062,0.0017299875617027283,for_003
-1.0,-0.016067516058683395,-0.015626907348632812,0.0004406087100505829,for_003
-0.5,-0.008033758029341698,-0.007913589477539062,0.00012016855180263519,for_003
0.5,0.008033758029341698,0.00814056396484375,0.00010680593550205231,for_003
1.0,0.016067516058683395,0.016513824462890625,0.0004463084042072296,for_003
2.0,0.03213503211736679,0.03386878967285156,0.0017337575554847717,for_003
-2.0,-0.04378901422023773,-0.041980743408203125,0.001808270812034607,for_003
-1.0,-0.021894507110118866,-0.021453857421875,0.00044064968824386597,for_003
-0.5,-0.010947253555059433,-0.010837554931640625,0.00010969862341880798,for_003
0.5,0.010947253555059433,0.01104736328125,0.00010010972619056702,for_003
1.0,0.021894507110118866,0.022348403930664062,0.00045389682054519653,for_003
2.0,0.04378901422023773,0.045604705810546875,0.001815691590309143,for_003
